# fen|wdl|wdl state|dtz|dtz state from Stockfish 13 probe_wdl and probe_dtz, generated by tools/syzygy_reference.py
4k3/4b3/P7/8/1n6/8/K7/8 w - - 0 1|-2|1|-2|2
8/6P1/2k5/8/8/8/5K2/8 b - - 0 1|-2|1|-2|2
5n2/8/8/8/4k3/2K5/8/8 w - - 0 1|0|1|0|1
6R1/5k2/2p2b2/4K3/8/8/8/8 w - - 0 1|0|1|0|1
8/8/1K2k3/8/8/3b3P/4p3/8 b - - 0 1|2|1|1|2
8/8/2k5/8/8/6p1/8/3K4 b - - 0 1|2|1|1|2
6k1/4K3/8/2P5/4P3/8/6n1/8 b - - 0 1|-2|1|-2|2
3K4/8/1P6/3b1k2/8/8/8/8 w - - 0 1|0|1|0|1
8/4N2k/4P3/3R4/8/8/8/K7 w - - 0 1|2|1|3|1
8/8/4q2P/7K/k7/8/8/8 b - - 0 1|2|1|3|1
k7/8/8/3KPp2/8/8/1R6/8 w - f6 0 1|2|2|1|2
8/5k2/3P4/4K3/6P1/8/8/8 w - - 0 1|2|1|1|2
2K5/8/8/3Pp3/4k3/1N6/8/8 w - e6 0 1|2|2|1|2
8/1k6/p7/5p2/1P6/8/8/2K5 w - - 0 1|-2|1|-2|2
8/8/1b6/8/1N1k4/1K6/5P2/8 w - - 0 1|0|1|0|1
6K1/4p3/8/8/6k1/7N/8/6r1 w - - 0 1|0|1|0|1
8/7K/8/8/3k4/6pR/8/1B6 w - - 0 1|2|2|1|2
8/8/N7/8/K1k5/8/6P1/8 b - - 0 1|-2|1|-12|1
8/8/K7/4P3/6k1/5N2/8/b7 w - - 0 1|0|1|0|1
8/8/P3p3/2n5/8/2K5/k7/8 b - - 0 1|2|2|1|2
4b3/8/8/1k4K1/3pP3/8/8/8 b - e3 0 1|2|2|1|2
5k2/8/8/1r6/7K/8/8/7N w - - 0 1|0|1|0|1
2N5/8/4p3/8/8/8/1k6/N4K2 w - - 0 1|0|1|0|1
1k5q/8/8/8/8/7K/3n4/8 w - - 0 1|-2|1|-10|1
8/8/8/pP5K/8/8/4k3/8 w - a6 0 1|2|2|1|2
b7/1K6/8/5r2/8/8/5k2/8 w - - 0 1|-2|1|-14|1
8/n3K3/8/k7/8/8/8/8 w - - 0 1|0|1|0|1
1k6/8/4P3/2pP4/8/7K/8/8 w - c6 0 1|2|2|1|2
8/8/5r2/6r1/8/8/7k/K7 b - - 0 1|2|1|3|1
8/8/8/7K/k7/4N3/5b2/8 b - - 0 1|0|1|0|1
8/8/8/1P6/8/8/3b4/K3k3 b - - 0 1|0|1|0|1
8/4k1P1/5R2/8/8/8/n7/6K1 b - - 0 1|-2|1|-2|2
8/1Q6/2p5/8/1K3k2/8/8/8 b - - 0 1|-2|1|-2|2
8/7k/8/3p4/B7/2K5/P7/8 w - - 0 1|2|1|1|2
8/6n1/8/4k3/8/2K5/1q1B4/8 w - - 0 1|0|1|0|1
8/2K4P/3n4/8/8/6k1/8/5B2 w - - 0 1|2|2|1|2
8/1K6/8/p7/1k2p3/2N5/8/8 b - - 0 1|2|2|1|2
8/3K4/8/P7/1P6/8/7k/7n b - - 0 1|-2|1|-2|2
8/8/4k3/3pP3/8/8/2KQ4/8 w - d6 0 1|2|2|1|2
4b3/8/4p2K/1k4p1/8/8/8/8 b - - 0 1|2|1|1|2
5R2/8/6k1/8/3K4/8/1B6/8 b - - 0 1|-2|1|-12|1
8/8/4r3/2P5/1k6/8/6N1/1K6 w - - 0 1|0|1|0|1
8/8/8/8/4KP2/4b3/5k2/8 b - - 0 1|0|1|0|1
r7/6k1/8/5N2/8/1K6/1P6/8 b - - 0 1|0|1|0|1
8/8/8/3B4/2K5/5P2/1k6/3n4 b - - 0 1|0|1|0|1
8/8/B7/4K3/8/2k5/4p3/4n3 w - - 0 1|0|1|0|1
8/2k1K3/8/8/Q7/3p4/8/8 b - - 0 1|-2|1|-4|1
5K2/8/8/8/8/2k5/7b/8 w - - 0 1|0|1|0|1
6k1/8/8/pP6/4K3/8/8/8 w - a6 0 1|2|2|1|2
8/7k/8/8/4N3/P7/5K2/8 b - - 0 1|-2|1|-2|2
8/8/4N3/4B2K/7B/8/8/6k1 b - - 0 1|-2|1|-8|1
4k3/8/5P2/6b1/8/8/4p3/2K5 w - - 0 1|-2|1|-2|2
8/8/k7/8/2pP4/8/6n1/3K4 b - d3 0 1|2|2|1|2
8/7P/1n1N4/2K5/8/8/6k1/8 w - - 0 1|2|2|1|2
8/8/4p3/6p1/rK3k2/8/8/8 w - - 0 1|-2|1|-2|2
8/7k/Q7/8/8/K6b/5R2/8 w - - 0 1|2|1|3|1
8/8/8/3k1N2/8/K3R3/8/8 w - - 0 1|2|1|11|1
8/3K4/8/2k5/8/7n/8/8 b - - 0 1|0|1|0|1
8/8/8/3K2k1/2pP4/8/R7/8 b - d3 0 1|-2|1|-2|2
8/8/2p2P2/8/k7/3b4/8/K7 b - - 0 1|2|1|3|1
2k5/1P4p1/3K4/8/8/8/8/8 b - - 0 1|0|1|0|1
2B5/8/8/8/k7/2K5/q7/8 b - - 0 1|2|1|7|1
8/6k1/8/8/pP4K1/8/8/8 b - b3 0 1|2|2|1|2
3Q4/3p4/k7/8/2K5/8/8/8 b - - 0 1|-2|1|-2|2
5Q2/8/8/8/8/4k3/8/6K1 b - - 0 1|-2|1|-16|1
8/8/6k1/8/3r4/K7/5P2/8 w - - 0 1|-2|1|-4|1
8/8/7N/pP6/8/6k1/8/6K1 w - a6 0 1|2|2|1|2
1r6/8/7k/8/8/8/3P4/K7 w - - 0 1|-2|1|-4|1
8/2P4B/8/8/8/2k5/4Kr2/8 w - - 0 1|2|2|1|2
8/8/8/k7/6K1/8/6P1/2n5 w - - 0 1|0|1|0|1
8/8/8/5k2/8/8/8/3K3b b - - 0 1|0|1|0|1
8/8/3K4/2P5/k7/6B1/8/8 b - - 0 1|-2|1|-2|2
6kN/8/8/5pP1/8/8/8/3K4 w - f6 0 1|2|1|5|1
4N3/7k/8/6K1/6p1/8/8/8 b - - 0 1|2|1|1|2
8/7k/b2K4/8/6pP/8/8/8 b - h3 0 1|2|2|1|2
8/4K3/8/8/1Pp5/8/8/3k4 b - b3 0 1|2|2|1|2
8/8/7R/7r/7p/8/K7/2k5 b - - 0 1|2|2|1|2
6k1/8/8/Q2K4/8/8/8/2b5 w - - 0 1|2|1|5|1
8/4R2k/8/3p4/6P1/8/8/3K4 b - - 0 1|-2|1|-2|2
8/8/8/k7/2Q1K3/8/8/N7 b - - 0 1|-2|1|-8|1
3q4/1K6/8/8/8/8/4k3/8 b - - 0 1|2|1|9|1
5k2/5p2/K7/7P/8/4P3/8/8 b - - 0 1|0|1|0|1
6r1/8/8/K7/B7/5k2/8/8 b - - 0 1|0|1|0|1
8/1K6/8/3k4/P7/5P2/3B4/8 w - - 0 1|2|1|1|2
8/8/8/4K3/pP6/k7/8/8 b - b3 0 1|2|2|1|2
8/b1K5/8/8/P3k3/8/8/8 b - - 0 1|0|1|0|1
8/8/5P2/8/2R5/4K3/R7/3k4 b - - 0 1|-2|1|-2|2
8/8/8/8/k1b5/1P6/3Kb3/8 b - - 0 1|0|1|0|1
8/1K1b4/8/8/4P2k/8/8/8 b - - 0 1|0|1|0|1
6N1/3p4/8/8/2K2Q2/8/5k2/8 b - - 0 1|-2|1|-4|1
8/2k2p2/8/8/8/8/8/3KB3 b - - 0 1|0|1|0|1
K7/8/8/8/8/1k2p3/1p6/8 w - - 0 1|-2|1|-2|2
8/8/4rP2/8/1B6/K5k1/8/8 b - - 0 1|0|1|0|1
8/3K2pR/Q7/8/1k6/8/8/8 b - - 0 1|-2|1|-2|2
8/8/8/Pp5K/8/3k4/8/8 w - b6 0 1|2|2|1|2
2k5/8/8/8/1Pp3K1/8/8/8 b - b3 0 1|2|2|1|2
8/4Q3/8/6K1/8/2R5/7p/3k4 w - - 0 1|2|1|1|1
8/6P1/8/8/p3R2K/3k4/8/8 b - - 0 1|-2|1|-2|2
5q2/8/8/4kBp1/8/8/2K5/8 w - - 0 1|-2|1|-4|2
8/2k5/8/2P5/3K4/8/8/2N4R w - - 0 1|2|1|1|2
4q3/2k5/8/P7/8/8/5K2/8 b - - 0 1|2|1|3|1
8/8/4np2/8/1P6/8/4k3/6K1 w - - 0 1|-2|1|-2|2
8/6r1/8/1p2k3/p7/8/8/7K b - - 0 1|2|1|1|2
8/4p1k1/2p5/8/8/7P/7K/8 w - - 0 1|-2|1|-2|2
8/8/3b1K2/8/3b4/8/5k2/8 w - - 0 1|0|1|0|1
8/6k1/4p3/3R4/2K1R3/8/8/8 b - - 0 1|-2|1|-2|2
8/4k1p1/8/7K/8/8/3B4/8 w - - 0 1|0|1|0|1
8/2n5/8/7p/4k3/8/8/6K1 w - - 0 1|-2|1|-6|1
8/8/8/4p2K/8/5k2/8/8 w - - 0 1|-2|1|-2|2
4k3/6B1/8/6P1/5b2/8/8/K7 b - - 0 1|0|1|0|1
6k1/8/1n6/3N4/2K5/8/8/8 w - - 0 1|0|1|0|1
8/8/8/5K2/8/4P2P/8/2k5 b - - 0 1|-2|1|-2|2
8/2k3p1/8/8/2K4p/8/2n5/8 w - - 0 1|-2|1|-2|2
2K5/8/6k1/8/5p2/8/8/8 b - - 0 1|2|1|1|2
8/7n/4k3/3B4/1P6/8/8/1K6 b - - 0 1|0|1|0|1
8/8/6B1/1k6/8/8/8/7K w - - 0 1|0|1|0|1
8/8/7q/8/3K2p1/kB6/8/8 w - - 0 1|-2|1|-2|2
5K2/8/6k1/8/2b1N3/8/8/8 w - - 0 1|0|1|0|1
8/8/K7/3p4/8/8/7k/3Q4 w - - 0 1|2|2|1|2
8/1k6/8/8/5Q2/2R4K/6Q1/8 b - - 0 1|-2|1|-4|1
1k6/8/2q5/K7/8/8/8/8 b - - 0 1|2|1|7|1
8/3P2p1/8/7b/2k3K1/8/8/8 w - - 0 1|2|2|1|2
1k6/2p5/8/p6K/8/8/8/8 b - - 0 1|2|1|1|2
8/8/4k3/8/b6K/2P5/8/8 b - - 0 1|0|1|0|1
1k6/5P2/8/7K/8/8/8/8 b - - 0 1|-2|1|-2|2
8/8/6k1/8/6P1/1p3K2/2p5/8 b - - 0 1|2|1|1|2
8/8/3Q4/8/4k3/2b5/5p1K/8 w - - 0 1|2|1|5|1
8/2k4P/2p3p1/8/8/5K2/8/8 w - - 0 1|2|1|1|2
1qK5/8/5P2/2k5/8/8/2B5/8 w - - 0 1|2|2|1|2
8/5n2/5n2/8/8/k4P2/8/7K b - - 0 1|2|1|26|1
8/8/7N/8/4Q3/5k2/8/1K6 b - - 0 1|0|1|0|1
8/3P4/7K/3k4/5n2/8/7P/8 w - - 0 1|2|1|1|2
8/8/8/2K4N/8/1p6/5P2/6k1 b - - 0 1|2|1|1|2
8/8/8/4p3/8/8/p7/K3k3 b - - 0 1|2|1|1|2
8/6k1/8/1pP5/8/8/2K5/8 w - b6 0 1|2|2|1|2
8/8/1P6/3k4/8/3K4/2n5/8 w - - 0 1|0|1|0|1
8/8/4k1Kp/2p5/8/4p3/8/8 b - - 0 1|2|1|1|2
8/8/1n6/8/4k3/8/2K5/3n4 b - - 0 1|0|1|0|1
8/7N/8/8/5Pp1/4k3/8/7K b - f3 0 1|0|1|0|1
8/1K6/8/8/6k1/8/1rr5/8 w - - 0 1|-2|1|-4|1
8/7P/6B1/8/8/2k1K2P/8/8 b - - 0 1|-2|1|-2|2
6K1/8/7k/5P2/8/1p6/8/8 b - - 0 1|2|1|1|2
8/8/2R5/8/6Q1/k7/1p6/4K3 b - - 0 1|-2|1|-4|1
8/8/7R/7K/8/8/8/2k5 w - - 0 1|2|1|23|1
8/8/8/1Pp5/8/1k6/4K3/8 w - c6 0 1|2|2|1|2
3k4/7K/8/8/6N1/8/6p1/Q7 w - - 0 1|2|1|3|1
8/2k2P2/8/7P/8/8/5K2/3B4 b - - 0 1|-2|1|-2|2
3B4/2k5/8/7r/8/5b2/8/4K3 b - - 0 1|2|2|1|2
5K2/P7/6b1/8/7P/8/2k5/8 w - - 0 1|2|1|1|2
8/1k6/8/8/P7/7K/5P2/8 b - - 0 1|-2|1|-2|2
8/2R5/8/7k/2p5/8/8/6KN w - - 0 1|2|2|1|2
3k4/6B1/8/8/1pP5/8/8/5K2 b - c3 0 1|0|1|0|1
8/7p/3k4/8/7p/2P5/3K4/8 b - - 0 1|2|1|1|2
8/7P/8/8/8/8/1K1k4/R7 w - - 0 1|2|1|1|2
8/8/8/6k1/7n/3K3b/6p1/8 b - - 0 1|2|1|1|2
7Q/5k2/4p3/2K5/2n5/8/8/8 w - - 0 1|2|2|1|2
8/2r5/8/P7/8/8/1p6/2k4K w - - 0 1|-2|1|-2|2
8/6n1/8/8/8/8/5k2/3K4 w - - 0 1|0|1|0|1
8/8/1K1k4/8/1p6/8/4p3/8 b - - 0 1|2|1|1|2
8/4p3/5p2/1k3K2/8/8/8/8 b - - 0 1|2|1|1|2
8/7b/8/2K5/4B3/1k6/p7/8 w - - 0 1|0|1|0|1
8/4k2p/1P6/8/8/8/3K4/8 w - - 0 1|2|1|1|2
8/8/8/8/6pP/8/2K5/7k b - h3 0 1|2|2|1|2
8/8/1k6/8/6r1/7K/7b/8 w - - 0 1|0|2|0|2
5qn1/8/8/7P/7k/4K3/8/8 b - - 0 1|2|2|1|2
5K2/3k4/P7/5p2/8/8/8/8 b - - 0 1|2|1|3|1
8/8/4K3/B7/6Pp/8/2k5/8 b - g3 0 1|0|1|0|1
8/4k3/8/7K/8/3n4/8/8 b - - 0 1|0|1|0|1
8/1r4N1/8/8/5K1k/7p/8/8 w - - 0 1|-2|1|-8|2
8/5k2/8/b7/K7/4p3/8/8 b - - 0 1|2|1|1|2
8/5Pk1/7p/8/8/6K1/2n5/8 b - - 0 1|2|2|1|2
8/8/4k3/2K5/8/8/1B6/8 w - - 0 1|0|1|0|1
K7/2k5/8/8/Pp5R/8/8/8 b - a3 0 1|-2|1|-2|2
8/3k4/8/8/8/6K1/pp6/2n5 w - - 0 1|-2|1|-2|2
1K6/8/8/pP6/8/4k3/8/8 w - a6 0 1|2|2|1|2
8/4N3/3p4/8/6b1/4k3/8/6K1 w - - 0 1|0|1|0|1
4k3/8/8/8/8/8/1p1K4/8 w - - 0 1|0|1|0|1
K7/8/1N6/8/1P6/6k1/8/8 b - - 0 1|-2|1|-2|2
8/5k2/4N3/2N5/8/2K5/8/8 b - - 0 1|0|1|0|1
8/K7/8/8/1R6/3n4/3p3k/8 b - - 0 1|2|2|1|2
1K6/8/8/pP6/8/3n4/8/1k6 w - a6 0 1|0|1|0|1
8/5b2/8/8/8/2K2k2/8/8 b - - 0 1|0|1|0|1
2k3K1/3P4/2b5/8/8/8/8/3N4 b - - 0 1|0|1|0|1
2K5/8/q7/8/2k5/8/5P1N/8 w - - 0 1|-2|1|-4|1
6N1/7b/8/3k3R/8/8/8/K7 b - - 0 1|-2|1|-2|2
8/5K2/3r4/8/8/8/8/Q5k1 b - - 0 1|-2|1|-14|2
8/8/8/2Nn4/2B5/7k/8/1K6 w - - 0 1|2|2|1|2
8/8/6K1/6Pp/3k4/8/8/8 w - h6 0 1|2|2|1|2
8/8/2k5/8/2rpP3/8/3K4/8 b - e3 0 1|2|2|1|2
2K5/6N1/8/8/2k5/8/8/n7 w - - 0 1|0|1|0|1
8/4k3/8/K7/8/P7/8/r7 w - - 0 1|-2|1|-14|2
8/3P1k1b/8/8/8/K7/8/2r5 w - - 0 1|0|1|0|1
6r1/8/3k1N2/8/8/2B5/2K5/8 b - - 0 1|0|1|0|1
k7/8/8/3P4/8/8/p2K4/8 b - - 0 1|2|1|1|2
8/8/1P6/6p1/8/8/8/1k2K3 w - - 0 1|2|1|1|2
1k4K1/8/8/8/8/8/3P4/5N2 w - - 0 1|2|1|1|2
1k1Q4/8/8/N7/8/6r1/8/5K2 b - - 0 1|-2|1|-4|1
k7/2K5/8/4B3/8/8/2P4p/8 w - - 0 1|2|2|1|2
8/3K4/8/2k2p2/8/5p2/8/r7 b - - 0 1|2|1|1|2
8/2k5/4r3/8/8/3K2p1/8/8 b - - 0 1|2|1|1|2
8/7P/5k2/8/8/2K3p1/8/8 b - - 0 1|2|1|3|1
8/8/8/8/1k6/p4K2/8/7b w - - 0 1|-2|1|-2|2
8/5p2/8/8/5K2/8/8/5k2 w - - 0 1|0|1|0|1
8/4Kn2/8/8/8/8/7q/5k2 w - - 0 1|-2|1|-8|1
8/8/8/4k2p/8/3B4/5KB1/8 b - - 0 1|0|1|0|1
8/8/8/2k3B1/K7/8/8/8 b - - 0 1|0|1|0|1
8/8/2b5/8/6K1/8/4k3/8 b - - 0 1|0|1|0|1
k3K3/8/8/P1P5/8/8/8/1Q6 w - - 0 1|2|1|1|2
8/4P3/8/8/2K5/8/8/3k4 b - - 0 1|-2|1|-2|2
8/8/8/8/K7/8/5kp1/8 w - - 0 1|-2|1|-2|2
4k3/7p/8/8/5n2/8/2K5/8 w - - 0 1|-2|1|-2|2
3K3B/8/8/8/1k6/7R/8/8 w - - 0 1|2|1|13|1
5B2/k7/8/8/4n3/8/8/1K6 b - - 0 1|0|1|0|1
8/8/8/3P4/8/5k2/7n/4K3 w - - 0 1|2|1|1|2
q1b5/6K1/8/8/2N5/4k3/8/8 b - - 0 1|2|1|7|1
8/B7/4P3/3N4/k7/8/3K4/8 w - - 0 1|2|1|1|2
8/8/2n5/7n/8/8/7k/4K3 w - - 0 1|0|1|0|1
1k3K2/8/8/8/8/8/4P3/8 b - - 0 1|-2|1|-4|2
2K5/1p6/8/8/B7/8/1k1q4/8 w - - 0 1|-2|1|-2|2
2RK4/8/4B3/8/4P3/3k4/8/8 w - - 0 1|2|1|1|2
5K2/7k/8/8/1Pp5/8/3Q4/8 b - b3 0 1|-2|1|-2|2
8/1P6/8/8/8/8/5k2/7K b - - 0 1|-2|1|-2|2
8/8/8/5R2/8/8/1k6/4K3 w - - 0 1|2|1|11|1
8/8/6K1/B7/8/8/7k/8 b - - 0 1|0|1|0|1
4B3/8/8/4k3/3N4/7Q/8/4K3 w - - 0 1|2|1|3|1
8/8/K1R2k2/8/1P6/8/8/8 b - - 0 1|-2|1|-2|2
2K5/6P1/k7/7Q/8/8/P7/8 w - - 0 1|2|1|1|2
8/2K5/8/5pPk/6b1/8/8/8 w - f6 0 1|0|1|0|1
8/8/1K6/8/5p2/4k2p/5p2/8 w - - 0 1|-2|1|-2|2
8/2K5/8/2k5/8/4n3/4Pn2/8 b - - 0 1|2|1|30|1
2k5/8/4n3/8/8/7K/6P1/8 w - - 0 1|0|1|0|1
8/5r2/K6B/8/8/1R6/3k4/8 b - - 0 1|0|1|0|1
8/8/7k/2p5/8/5K2/8/5n2 w - - 0 1|0|1|0|1
1b6/1K5N/8/5k2/1R6/8/8/8 w - - 0 1|2|2|1|2
8/3k4/8/8/8/7n/8/1K6 b - - 0 1|0|1|0|1
8/6K1/8/8/3pP3/8/1b6/4k3 b - e3 0 1|2|2|1|2
3K4/6P1/3B4/1k6/8/8/8/8 b - - 0 1|-2|1|-2|2
8/2K5/5R2/1k6/8/1N6/3B4/8 b - - 0 1|-2|1|-6|1
8/1p6/8/8/3n4/8/3B4/1k1K4 b - - 0 1|0|1|0|1
8/8/8/4Pp2/8/2k1K3/2b5/8 w - f6 0 1|0|1|0|1
2k5/8/8/6Pp/8/K7/8/8 w - h6 0 1|2|2|1|2
8/4K3/8/6P1/5kpP/8/8/8 b - h3 0 1|2|1|1|2
8/2K5/8/6n1/8/4k3/5b2/8 b - - 0 1|2|1|52|1
8/8/3p4/3K4/8/5k2/4B3/8 b - - 0 1|0|1|0|1
8/8/4K3/8/8/8/r7/7k w - - 0 1|-2|1|-32|1
8/8/4k3/3q4/8/2K4p/8/8 w - - 0 1|-2|1|-2|2
2K1N3/8/8/8/8/1k2P3/8/8 w - - 0 1|2|1|1|2
2k5/7n/8/8/2N5/1K1p4/8/8 b - - 0 1|0|1|0|1
8/8/8/3K2N1/Pp6/6k1/8/8 b - a3 0 1|0|1|0|1
3B4/K7/8/8/8/k7/7Q/8 w - - 0 1|2|1|5|1
5n2/7R/8/8/8/K7/8/k7 w - - 0 1|2|1|1|1
2q5/2p5/8/7b/8/8/k1K5/8 b - - 0 1|2|1|1|2
3K4/k6q/4n3/8/8/8/8/8 w - - 0 1|-2|1|-4|1
B6k/6N1/8/8/8/8/8/6K1 b - - 0 1|0|1|0|1
8/8/8/1k6/8/1P1K4/n7/8 b - - 0 1|0|1|0|1
8/8/8/1p3K2/7k/1n6/7p/8 w - - 0 1|-2|1|-2|2
5n2/1n6/8/1k6/8/8/2R5/5K2 w - - 0 1|0|1|0|1
8/8/8/8/7Q/3k4/7K/8 w - - 0 1|2|1|11|1
8/8/5nK1/3k4/3B4/8/4R3/8 w - - 0 1|2|2|1|2
8/8/6p1/8/2K5/8/pn5k/8 w - - 0 1|-2|1|-2|2
8/8/5K2/8/8/6p1/6k1/8 b - - 0 1|2|1|3|1
8/8/8/3k4/8/5p2/4R3/5K2 b - - 0 1|0|1|0|1
3K4/8/5P2/8/2r5/5kn1/8/8 b - - 0 1|2|1|5|1
5k2/8/6K1/R7/8/2p3B1/8/8 w - - 0 1|2|1|3|1
2K5/8/8/4P3/N7/8/8/k6N w - - 0 1|2|1|1|2
1K6/8/8/8/8/8/k7/3q4 b - - 0 1|2|1|11|1
8/8/4k3/7R/1P6/5K2/8/8 b - - 0 1|-2|1|-2|2
8/8/8/8/4K1k1/2N5/8/8 w - - 0 1|0|1|0|1
8/4K3/8/N4n1k/8/8/N7/8 w - - 0 1|0|1|0|1
7K/8/8/5k2/8/8/5N2/7Q b - - 0 1|-2|1|-12|1
8/8/1N6/8/1P6/8/r6k/K7 w - - 0 1|2|2|1|2
8/8/8/1K1k4/8/3B4/8/8 b - - 0 1|0|1|0|1
5R2/5K2/8/8/1Rk5/8/8/3n4 b - - 0 1|0|1|0|1
8/3K4/8/4k3/2Q5/8/8/6b1 w - - 0 1|2|1|5|1
r7/1n6/8/8/8/8/2k2K2/8 w - - 0 1|-2|1|-16|1
8/5k2/R4N2/6b1/8/8/K7/8 w - - 0 1|2|1|23|1
8/8/8/3p4/K5pn/5k2/8/8 b - - 0 1|2|1|1|2
2R5/8/4k3/8/8/5K2/P7/8 b - - 0 1|-2|1|-4|2
8/k7/8/8/P7/8/8/1b3K2 w - - 0 1|0|1|0|1
8/8/8/8/8/5b2/2N2P2/2K3k1 b - - 0 1|0|1|0|1
8/8/p7/8/8/1K6/1Q6/k7 b - - 0 1|-2|1|-1|-1
8/8/2kb4/5K2/8/Q1P5/8/8 b - - 0 1|0|1|0|1
8/8/8/4K3/4Pp2/8/3k4/8 b - e3 0 1|2|2|1|2
8/8/1N6/k7/q7/3R4/8/1K6 b - - 0 1|2|2|1|2
8/4p3/8/8/8/1k5K/8/2B5 w - - 0 1|0|1|0|1
8/8/8/8/8/5n1k/K1n5/8 w - - 0 1|0|1|0|1
8/8/k7/8/P5p1/K4P2/8/8 w - - 0 1|2|2|1|2
8/2r3p1/3k3K/8/8/8/b7/8 w - - 0 1|-2|1|-4|2
1K6/8/r3k3/8/8/8/4q3/8 w - - 0 1|-2|1|-4|1
k5K1/8/8/8/8/5R2/1PP5/8 b - - 0 1|-2|1|-2|2
8/8/8/8/4P2B/8/1K5k/8 b - - 0 1|-2|1|-2|2
8/8/8/3k1pP1/7n/1K6/8/8 w - f6 0 1|0|1|0|1
2k5/8/8/8/8/3P2K1/8/3r4 b - - 0 1|2|2|1|2
8/8/4b3/8/8/3k4/3p3K/3B4 b - - 0 1|2|1|17|1
2r3k1/8/8/2r5/8/K7/8/8 b - - 0 1|2|1|3|1
8/8/3n4/3k3p/8/8/2R5/2K5 b - - 0 1|0|1|0|1
8/6p1/8/8/4K3/8/4k3/5B2 b - - 0 1|0|1|0|1
8/1k5b/8/8/8/3B4/3K4/8 w - - 0 1|0|1|0|1
3n4/5q2/5n2/3K4/8/8/5k2/8 w - - 0 1|-2|1|-6|1
8/3P4/1k6/5K2/6n1/1b6/8/8 w - - 0 1|2|1|1|2
8/8/8/1K1k4/8/r5q1/2r5/8 w - - 0 1|-2|1|-2|1
3kr3/8/8/8/2R5/8/6B1/6K1 b - - 0 1|0|1|0|1
8/8/8/5N2/8/1K3R2/8/1Qk5 b - - 0 1|-2|1|-2|1
6K1/k7/7r/8/8/8/4N3/8 b - - 0 1|0|1|0|1
3k4/8/8/5pP1/4K3/8/8/5Q2 w - f6 0 1|2|2|1|2
8/2k3R1/N7/5r2/8/8/8/7K b - - 0 1|0|1|0|1
8/8/8/8/4k3/8/5P2/3R1K2 w - - 0 1|2|1|1|2
4R2q/5P2/2k5/8/8/8/8/5K2 b - - 0 1|2|1|3|1
5n2/8/8/8/6B1/6K1/8/2k5 w - - 0 1|0|1|0|1
2K5/8/8/8/8/k4N2/8/8 w - - 0 1|0|1|0|1
4k3/8/2NK4/8/2P5/8/8/8 w - - 0 1|2|1|1|2
8/8/8/3n4/8/6K1/3k4/8 w - - 0 1|0|1|0|1
8/8/8/5Q2/3k4/4rp2/2K5/8 b - - 0 1|0|1|0|1
8/4kP2/3r4/7K/5p2/8/8/8 w - - 0 1|-2|1|-2|2
8/8/8/2P5/8/1k6/8/4K3 b - - 0 1|-2|1|-2|2
6K1/8/7k/P7/8/8/2pn4/8 w - - 0 1|-2|1|-2|2
8/4Kp2/P7/1p6/8/8/4k3/8 b - - 0 1|-2|1|-1|1
8/3n4/3r4/8/2k5/2P5/3K4/8 w - - 0 1|-2|1|-4|2
8/8/2k5/8/5Pp1/8/8/2K3B1 b - f3 0 1|0|1|0|1
8/8/2P3R1/8/8/5K2/8/2k5 b - - 0 1|-2|1|-2|2
3k4/1p6/8/5K2/8/8/6n1/8 w - - 0 1|-2|1|-4|2
8/8/5K2/6r1/k7/8/7p/8 w - - 0 1|-2|1|-2|2
1R1N4/3K4/8/6k1/8/8/8/8 w - - 0 1|2|1|13|1
8/8/8/k7/4P3/4b3/2B1K3/8 w - - 0 1|2|2|1|2
8/2k5/8/2Pp4/8/8/7K/8 w - d6 0 1|0|1|0|1
5B2/8/2k5/8/4K3/8/8/2r5 b - - 0 1|0|1|0|1
8/2k5/8/1KPp4/8/8/1q6/8 w - d6 0 1|-2|1|-2|2
8/2K5/8/2k5/8/8/n7/8 w - - 0 1|0|1|0|1
8/6P1/8/8/5K2/7n/8/1k6 w - - 0 1|2|1|3|1
8/6k1/1Kp5/8/8/8/8/8 b - - 0 1|0|1|0|1
8/8/5k2/1pP5/8/8/6K1/6B1 w - b6 0 1|2|2|1|2
8/8/3P4/3K4/8/8/1k6/8 b - - 0 1|-2|1|-2|2
8/8/8/8/8/5P2/3k1K2/8 w - - 0 1|2|1|1|2
5KN1/8/3Pq3/8/8/8/1k6/8 b - - 0 1|2|2|1|2
5r2/4N3/8/8/3K4/8/5P2/6k1 b - - 0 1|0|1|0|1
B7/8/1k4K1/8/3p2R1/8/8/8 b - - 0 1|-2|1|-4|2
7r/8/4Kn2/8/8/5k2/8/8 b - - 0 1|2|1|11|1
8/8/6K1/3b4/P7/1k6/8/8 b - - 0 1|0|1|0|1
8/5k2/8/8/Pp6/4K3/8/8 b - a3 0 1|2|2|1|2
6k1/4p3/1K6/8/8/8/8/8 w - - 0 1|-2|1|-14|2
4K3/N7/8/8/5Pp1/8/2k5/8 b - f3 0 1|2|2|1|2
k5n1/8/8/8/3P4/3q4/2K5/8 w - - 0 1|0|1|0|1
N7/5K2/8/1p6/8/8/3k4/8 w - - 0 1|0|1|0|1
8/1k6/8/8/8/3P1K2/5q2/8 w - - 0 1|0|1|0|1
8/P3N3/8/K7/N3k3/8/8/8 w - - 0 1|2|1|1|2
8/8/8/8/pP6/6pk/8/7K b - b3 0 1|2|2|1|2
