# fen|stockfish 15.1 nnue value|adjusted value, side to move; net nn-ad9b42354671, generated by tools/nnue_reference.py
3r2r1/bp1n1bk1/B1p1p1p1/3pPQKp/1B1P3P/1P3PP1/N1q5/1N1R2R1 w - - 2 38|-637|-691
1r4r1/BB3bk1/2p1p1p1/3pPQKp/3P3P/1P1q1PP1/N7/1N1R2R1 w - - 1 41|295|184
1B4r1/5bk1/2B1p1p1/3pPQKp/1P1Pq2P/5PP1/N7/1N4R1 w - - 1 44|159|42
1Br4k/8/2B1Q1p1/3pP1Kp/1P1PqP1P/6P1/N7/1N4R1 b - - 0 46|-1351|-1210
1B2B2k/4Q3/6K1/3pP2p/1P1P1P1P/5qP1/N7/1N4R1 b - - 0 49|-2704|-2536
4B2k/1Q6/3B3K/3pP2p/1P1P3P/6P1/N5q1/1N4R1 w - - 6 53|3530|3391
2B4k/8/3B3K/1Q1pP2p/1P1P3P/6P1/N7/1q4R1 b - - 1 56|-2006|-1852
7k/8/3B2K1/1Q1pP2p/1P1P2BP/6P1/N7/1q4R1 w - - 6 59|3823|3710
7k/5K2/3B4/1Q1pP2p/1P1P2BP/5qP1/N7/6R1 w - - 12 62|2672|2537
bbqrnkrn/pppp1pp1/8/4p2p/2P5/6N1/PP1PPPPP/BBQRNKR1 w KQkq - 0 3|421|426
bbqrnkr1/p1pp1p2/6B1/1p2p1pp/2P5/3N2N1/PP1PPPPP/B1Q1RKR1 b Kkq - 0 6|-296|-261
1bqr1kr1/p1pp1pnB/8/1p2p1pp/P1P5/3N2N1/1P1PPPbP/B1Q1RKR1 w Kkq - 0 9|1029|1021
1bqr1kr1/p1pp1pnB/8/1p2p3/P1P2Npp/5PN1/1P1PP1RP/B1Q1RK2 b kq - 1 11|-860|-812
1b2rk1r/p1p2pnB/q2p4/1p2p3/P1P2NPp/6NP/1P1PP1R1/B1Q1R1K1 w - - 0 15|1448|1404
1b2rkr1/p1p2pnB/q2p4/1p2p3/P1PP1NPp/4P1NP/1P4R1/B1Q1R1K1 b - - 0 18|-1244|-1195
1b2rkr1/p1p2pnB/3p4/1p1qp3/P1PP1NPp/4P2P/1P4R1/B1Q1R1KN w - - 7 22|2267|2248
1b2r1r1/p1p1kpnB/2qp4/1p2p3/PPPP1NPp/4P2P/1R6/B1QR2KN b - - 4 25|-1663|-1627
1b2rkr1/p1p2p2/3p2B1/4p2n/pPqP1NPp/4P2P/1R6/B1QR2KN w - - 0 29|1183|1154
1b1r1kr1/p1p2p2/3p2B1/3P3n/pq2p1Pp/4P2P/1R2N3/BQ1R2KN w - - 0 32|1862|1861
1b1r1kr1/2p2p2/3p4/p2P2PB/p2qp2p/4P1NP/1R1RN3/BQ4K1 b - - 1 35|-1418|-1367
1b1r2r1/2p1k1q1/3pP3/p5PB/p3p2p/4P1NP/1R1R4/BQ4K1 b - - 0 38|-1289|-1255
1b1r1r2/2p1k1B1/3pP3/p5PB/p3p3/4P1pP/2RR4/1Q4K1 w - - 0 42|3390|3336
1b1r1B2/2p5/3pk3/p5PB/p3p3/4P2P/2R2RK1/1Q6 b - - 0 44|-3379|-3267
1b2B3/2p1B3/2Rp4/p3k1P1/p3p3/4P2P/5RK1/1Q6 b - - 0 47|-5222|-5097
4B3/b1R5/3p1B2/p2k2P1/4p3/p3P2P/5RK1/1Q6 b - - 0 50|-5563|-5440
8/2RB4/3p4/p1bkB1P1/4p3/n3P2P/6K1/5R2 w - - 4 54|3253|3215
8/3B4/3p4/p2kB1P1/1R2pR1P/2b1P3/6K1/8 b - - 2 57|-2173|-2072
8/3B4/3p1b2/p2k2PP/4pR2/1R2P3/8/7K w - - 4 61|2972|2928
rnbqkbr1/ppp1p2p/6p1/3n1pB1/3P4/8/PP2PPPP/RN1QKBNR w KQq - 2 3|227|234
rBbq1br1/pp1kp2p/5np1/2p2p2/3P4/1P5P/P3PPP1/RN1QKBNR b KQ - 0 6|-803|-787
rBb2br1/pp1kpq1p/6p1/2p2p2/3PnP2/1P5P/P2NP1P1/R2QKBNR w KQ - 3 9|1118|1107
r1b2br1/Bp2pq2/6pp/2pk1p2/P1NPnP2/1P5P/4P1P1/R2QKBNR b KQ - 0 12|-1152|-1148
1rb2b2/Bp2pqr1/6pp/3k1p2/P2pnP2/1P5P/3NP1P1/R2QKBNR b KQ - 5 15|-936|-935
r1b2brB/1p3q2/3kp1pp/5p2/P3nP2/1P5P/3NP1P1/R2QKBNR w KQ - 4 19|1267|1259
1rb3rB/1p3q2/3bp1pp/2k2p2/P3nP2/RP5P/3NP1P1/3QKBNR w K - 10 22|625|609
1rb4B/1p3qr1/2kbp1pp/5p2/PP2nP2/1R5P/3NP1PR/3QKBN1 b - - 4 24|-1219|-1211
rnbqkbnr/ppp1pppp/3p4/8/2P4P/8/PP1PPPP1/RNBQKBNR b KQkq - 0 2|23|25
r1bqkbnr/ppp1pppp/1n1p4/8/2P1P2P/7R/PP1P1PP1/RNBQKBN1 b Qkq - 2 4|103|105
r3kbnr/ppp2ppp/1n1p4/2P1p3/4P1bq/2N2N1R/PP1P1PP1/R1BQKB2 b Qkq - 0 7|-535|-550
r3kb1r/pppb1ppp/1n1p3n/2P1p3/3PP3/2N2N1R/PP3KP1/R1BQ1B2 w kq - 1 10|3047|3009
r3kb1r/ppp2ppp/2bp1n1n/2P1p3/3PP3/2N4R/PP3KPN/R1BQ1B2 w kq - 7 13|2921|2886
r6r/ppp1kppp/2bb1n1n/2p1p3/3PP3/2NB3R/PP2QKPN/R1B5 b - - 5 16|-1443|-1395
r2r4/ppp1kp1p/2bb2pn/4p2n/2pPP2R/2NB4/PP3KPN/RQB5 w - - 0 20|1813|1771
r2r4/ppp4p/2bbk1pn/4pp2/2pPPR2/2NB2n1/PPQ3PN/1RB3K1 b - - 1 23|-767|-701
r2r4/pppk3p/3b2pn/4pp2/2pPbR2/1PNB2n1/P3QKPN/1RB5 b - - 4 26|-200|-132
r2rk3/ppp4p/3b2p1/4pp2/2pPb1n1/1PNB2R1/P3Q1PN/1RB1K2n b - - 10 29|-776|-704
1r1rk3/1pp4p/p2b2pn/3Npp2/2pPb2R/1P1B4/P3Q1PN/1RB1K2n b - - 5 32|-1382|-1319
1r1rk3/1p2b2p/p5pn/2pNpp2/3Pb2R/1p2B3/P1B1Q1PN/1R3K1n b - - 3 35|-368|-296
rnbqkbnr/p1pp1ppp/1p6/4p3/8/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 3|89|90
rnbq1bnr/2pp1kpp/8/pp2p3/6P1/P3P3/1PPP1P1P/RNBQK1NR w KQ - 0 6|-251|-227
rn1q1bnr/2pp1k1p/b7/pp2p1p1/P2P1PP1/4P3/1PP4P/RNBQK1NR b KQ - 0 8|317|295
rn1q3r/2p1bk1p/b2p3n/pp4p1/P2p1PPP/2N1P3/1PP1N3/R1BQK2R w KQ - 0 12|88|122
rn2qk1r/2p1b2p/b2p3n/pN4P1/P2p2PP/4P2R/1PP1N3/R1BQK3 b Q - 2 14|-111|-123
rn3k1r/2p4p/b2p3n/pN4b1/P1qpP1PP/3Q2R1/1PP1N3/R1B1K3 b Q - 2 17|-186|-209
rn3k1r/2p4p/b2p3n/p7/P2qP1PP/2QR4/1PP1N3/R1b1K3 w Q - 4 21|-359|-292
bbqrnknr/ppppppp1/8/7p/P7/3N4/1PPPPPPP/BBQR1KNR b KQkq - 1 2|204|211
bbqr1knr/1ppppp2/p2n4/7p/P4Pp1/2PN1N2/1P1PP1PP/BBQR1K1R w KQkq - 0 6|0|0
bbqr2nr/1ppp1pk1/p2n4/P3p2p/5Pp1/1QP2N2/1P1PPNPP/BB1R1K1R b KQ - 3 9|48|54
bbqr1knr/1ppp4/p4p2/P3pn1p/5Pp1/1QP2NP1/1P1PPN1P/BB1R1K1R b - - 2 12|137|144
bb1r1knr/1pp5/p2p1p2/P3pq1p/5Pp1/1QP1PNP1/1P2PN1P/BB2RK1R w - - 2 15|853|831
bb1rk1nr/1pp5/p2pqp2/P3p3/3N1Ppp/Q1P1P1P1/1P2PN1P/BB2RK1R w - - 2 18|927|910
bb1rk1n1/1pp1q3/p2Q1P1r/PN6/6p1/2P1P1Pp/1P2PN1P/BB2RK1R b - - 0 21|130|192
bbr3n1/1p1kP3/p1p1r3/PN6/6p1/2P1P1PN/1P2P2P/BB2RK1R w - - 1 25|1331|1292
bb1r2n1/1pk1P3/p1pNr1B1/P7/5Np1/2P1P1P1/1P2P2P/B3RK1R w - - 7 28|2257|2226
1b1rR1n1/1b5B/p1pkr3/Pp5N/6p1/1PP1P1P1/4P2P/B3RK1R b - - 2 31|-1840|-1798
1bbrR3/8/p1p1r2n/P1k4N/1p4pP/1PP1P1P1/4P3/BB1R1K1R w - - 1 35|2370|2346
3r1R1b/1b1R4/p1p1r2n/P1k4N/1p4pP/1PP1P1P1/1B2P2R/1B3K2 b - - 8 38|-2198|-2166
5r2/1b1R4/p1p4n/P1k2B1N/1pPbr1pP/1P2P1P1/1B2P2R/5K2 w - - 1 41|1189|1190
5r2/1b6/p1pR3n/P1k4N/1pP1r1pP/1P2b1P1/1B2PR2/5K2 b - - 3 44|414|403
8/1b3n2/p1pk4/P6N/1pP2rpP/1P2b1P1/4PR2/B4K2 w - - 3 48|337|371
8/1b3n2/p1p5/P7/1pPk2pP/1PN1b1P1/4PR2/5K2 b - - 3 51|493|498
2bn4/8/N1p5/P7/1pPk2pP/1P2b1P1/4PR2/5K2 w - - 1 55|109|112
3n4/2N5/2p1b2b/P1P4P/1p2k1p1/1P3RP1/4P3/5K2 b - - 2 58|-584|-594
3n4/2N5/2p1b3/P1P1k2P/1p4p1/1P4P1/4PR2/2b2K2 b - - 6 60|-789|-804
8/2N5/2p4n/P1P1k2P/1pP2Rp1/b3P1P1/8/5K2 w - - 1 64|2005|2008
rnbq1rk1/ppp1ppbp/3p2p1/8/P2Pn3/2N1BN2/1PP2PPP/R2QKB1R w KQ - 1 3|-272|-270
rnbq1rk1/ppp1ppbp/6p1/P2p4/3P4/3NB2P/1PP2PP1/Rn1QKB1R b KQ - 2 6|768|752
rn3rk1/ppp1ppbp/3qb1p1/P2p4/3P4/n2NBP1P/1PP1K1P1/2RQ1B1R b - - 0 9|1541|1527
rn3r2/ppp1ppbk/1q2b1p1/P2p3p/3P3Q/n2NBP1P/1PP1K1P1/1R3B1R w - - 6 13|-427|-395
rn3r2/ppp1pp1k/1q3b2/P2p3p/3P2b1/n2NBP1P/1PPK2P1/1R3B1R b - - 3 16|1618|1516
rnb2r2/ppp1pp1k/5b2/P1qp3p/3P3P/n2NBP2/1PPK2P1/1R3B1R w - - 1 20|-760|-642
rnbr2k1/ppp2p2/4pb2/P1qp3p/3P1PPP/nP1NB3/2PK4/4RB1R b - - 2 23|1507|1402
r1br2k1/1ppn1p2/p3pb2/P2p3p/1P1q1PPP/n2N4/2PKRB2/5B1R b - - 1 26|3089|3006
r1br1k2/1ppn1pb1/p3p1P1/P2p3p/1P1q1P1P/n2N4/2PKR3/4BB1R w - - 1 30|-2037|-1936
rnb2k2/1pp2pb1/p2rp1P1/P2p2Rp/1P3P1P/n2N4/1qP4R/3KBB2 b - - 8 33|2866|2790
rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/2b5/PPP2PPP/1RBQKBNR w Kkq - 0 2|-487|-461
rnb1k1nr/pp3ppp/4p3/3pP1q1/3p1P2/2b5/PPPB2PP/1RQ1KBNR w Kkq - 2 5|2|51
r1b1k1nr/pp1n1ppp/B3p3/3pPq2/3p1P1P/2P5/P1PB2P1/1RQ1K1NR w Kkq - 3 8|222|237
r1b1k2r/pp1nnppp/B3p1q1/3pP3/P1Pp1P1P/8/2PBK1P1/1RQ3NR b kq - 2 10|581|583
rnBk3r/p3nppp/4p1q1/3pP3/p1Pp1P1P/8/2PBK1P1/1R2Q1NR w - - 1 14|107|85
rnBk1r2/p3nppq/4p3/3pP2p/p1Pp1P1P/6P1/1RP1K3/2B1Q1NR w - - 1 17|482|473
rnBk1r2/p3npp1/4p1q1/3pPP1p/2Pp2PP/p7/1RP5/2B1KQNR b - - 0 20|-115|-103
2r1k2r/p2nnpp1/4pBq1/3pPP1p/2Pp2PP/p7/1RP5/4KQNR w - - 2 24|-836|-829
4k3/p2nnppr/5Bq1/3PPp1p/2rp2PP/p6R/1R6/4KQN1 w - - 0 27|-872|-859
4k3/p2nnppr/6q1/3PPpB1/1r1p2pP/p5R1/1R2Q3/4K1N1 b - - 1 29|1145|1133
8/p2knppr/4n1q1/3PPpB1/r2p2RP/p3Q3/1R6/5KN1 w - - 5 33|-228|-211
5n2/3knppr/p5q1/3PP1B1/r2p2pP/p5Q1/5R2/5KN1 w - - 0 36|-851|-797
8/3knppr/6q1/p2P2B1/r2p1npP/p4NQ1/5R2/4K3 w - - 0 39|-1103|-1041
rnb1qk1r/1p1Pbppp/p1p1B3/8/8/8/PPP1NnPP/RNBQK1R1 w Q - 2 10|362|364
rnR1qk1r/1p1B2pp/p1p5/2b2p2/3Q1B2/8/PPP1NnPP/RN2K1R1 b Q - 4 13|-1015|-952
rnR2k1r/6pp/p1p4B/1pb2p1B/3Q4/8/PPP1NnPP/RN2K1R1 b Q - 1 16|-3425|-3308
rnR4r/3k2pp/p1p2Q1B/1pb2p1B/8/8/PPP1NnPP/RN2K1R1 b Q - 5 18|-1884|-1735
r1Rr1b2/3k2pp/n1p2Q1B/pp3p2/8/P1N5/1PP2nPP/RN1BK1R1 w Q - 3 22|3178|3058
r2R1b2/2k3pp/n1p2Q1B/pN3p2/8/P7/1PP2nPP/RN1BK1R1 b Q - 0 23|-4827|-4680
r2R1b2/6Qp/nkp4B/pN3p2/8/P6P/1PP2nP1/RN1BK1R1 b Q - 0 25|-4364|-4203
r2R4/4b1Qp/nkp4B/1N3p2/1pP5/P6P/3K2P1/RN1n2R1 b - - 1 28|-3321|-3184
3R4/2n1bQ1p/1kp5/1N3pB1/r1P4P/p1n5/3K2P1/RN4R1 w - - 2 32|4398|4301
n2R4/4b2p/8/kp1Q2B1/r1P4P/p1n5/3K2P1/RN4R1 b - - 5 35|-2530|-2415
n2R4/7p/k7/rp1Q4/1bP2BPP/p7/3K4/RN1n3R w - - 1 39|5427|5374
n4b2/k7/7p/rQ6/2PR2PP/p7/3B4/RNKn3R b - - 4 42|-2526|-2396
5b2/k7/1n6/r6p/2PR2PP/p7/2QB4/RNKn4 w - - 0 46|2992|2933
5b2/k7/8/r2n3P/2n2B1P/p2Q4/8/RNK5 b - - 1 49|-518|-461
5b2/8/1k5P/r2Q4/5B1P/pn6/8/RNK5 w - - 1 52|1780|1708
8/8/rk1b3P/8/7P/pn4B1/2K5/RN6 b - - 1 54|-26|-22
1b6/8/r6P/n1k5/7P/p5B1/2KN4/R7 b - - 7 57|-315|-314
8/7P/1rn5/3k4/5b1P/p2K2B1/3N4/4R3 w - - 1 61|289|287
rnbqkbnr/pp2pppp/8/2pp4/3P4/N7/PPP1PPPP/R1BQKBNR w KQkq - 0 3|-42|-43
1rbqkbnr/pp3ppp/2n5/1Nppp3/3P1P2/3Q1N2/PPP1P1PP/R1B1KB1R b KQk - 4 6|918|944
1rb1kb1r/pp3ppp/2nq2n1/1NpppQ2/3P1PP1/P4N2/1PP1P2P/R1B1KB1R b KQk - 0 9|182|185
1rb1kbnr/pp4pp/3q1p2/1Nppp3/P2PQPPn/5N2/1PPBP2P/R3KB1R w KQk - 1 13|515|519
1r2kbnr/1p1b2pp/1qN2p2/2pppQ2/P1PP1PPn/5N2/1P1BP2P/R3KB1R b KQk - 4 16|94|108
r3kbnr/1p1Q2pp/8/2ppp3/PqPP1PPn/5N2/RP1BP2P/4KB1R b Kk - 0 19|-527|-517
r1k2bnr/1p4pp/8/2Ppp3/PqP2PPn/4PN2/RP1BB2P/4K2R w K - 3 23|-1104|-1056
r1bqkbr1/pppp1pp1/2n2n2/1B5p/3NP3/8/PPP2PPP/RNBQ1RK1 w q - 0 3|595|603
r1bqkbr1/1pp2pp1/2np4/p2n3p/3NP3/5P1P/PPP1BRP1/RNBQ2K1 b q - 3 6|-316|-320
r1bqkbr1/1pp5/B1np1pp1/p6p/1B1NP3/4nP1P/PPP2RP1/RN1Q2K1 b q - 3 9|622|642
r1bqkb2/1pp3r1/2np1pp1/p6p/3NP3/5P1P/PPP2RP1/RN1nBBK1 w q - 2 13|-1711|-1640
r1bq4/1ppkr1b1/2Np1pp1/pB5p/4P1P1/2P2P1P/PP3R2/RN1nB1K1 b - - 0 16|1111|1068
1Nbq4/rppkr1b1/3p1pp1/p7/2B1P1Pp/2P2P1P/PP3R2/RN1nB1K1 b - - 1 18|1495|1449
1Nbqk3/rpp1r3/3pB2b/p3p1p1/1P4Pp/2P2P1P/P4R2/RN1nB1K1 w - - 2 22|-1356|-1301
1N1qk3/r1pbr3/1p1pB2b/4p1p1/1pP3Pp/1N3P1P/P5R1/R2nB1K1 b - - 0 25|1462|1400
1N1qk3/r1pb2br/1p1pB3/6p1/1pP1p1Pp/1N3P1P/P7/1RRnB1K1 w - - 0 29|-945|-877
1N1k4/r1p3br/1pqp4/6p1/PpP1p1Pp/5P1P/3N2K1/1RRnB3 b - a3 0 32|1460|1398
1N1k3b/2p4r/1p1pq3/r1P3p1/Pp2pPPp/7P/3N4/1RRnB2K w - - 3 36|-643|-566
1Nq1k2b/2P4r/rp6/6p1/Pp2pPPp/7P/3N4/1R1RB2K w - - 1 39|0|30
r1q1k3/2P4r/1NN5/6p1/P3pPPp/1p5P/1b6/1R1RB1K1 b - - 0 42|-857|-892
r1b1kb1r/pp1ppppp/nq6/3nP3/3p4/2P5/PPN2PPP/R1BQKBNR w KQkq - 4 3|200|222
r1b1kb1r/pp1ppppp/7q/4P1B1/1n1Q4/2n5/PPN2PPP/R3KBNR w KQkq - 1 6|132|151
r1b1kb1r/p2pp1pp/7q/1p2PpB1/1n1Q4/4NP1N/PP4PP/1n2KB1R b Kkq - 1 9|581|539
r1bk1b1r/p2pB1pp/4q3/1p2Pp2/1n3Q2/2n1NP1N/PP4PP/4KB1R b K - 0 12|971|933
r1b4r/p1kp2pp/3b4/1p1qPp2/1n6/2n1NP1N/PP1Q2PP/4KB1R w K - 2 16|-913|-839
r1b4r/2kp2pp/3b4/pp2Pp2/1n1qn3/4NP1N/PP2B1PP/3Q1RK1 w - - 4 19|-999|-936
r1b4r/2kp2p1/3b4/pp1QPpNp/1n2P3/4N3/PP2q1PP/5RK1 b - - 0 22|622|548
r3r3/1bkp2p1/3N4/1p2P1Np/p2QP3/8/PPn1q1PP/5RK1 w - - 1 26|226|272
r2kr3/1b1p2p1/8/1N1PP1Np/p7/8/PPn3PP/5R1K b - - 0 29|1225|1215
br2rN2/Nk1p2p1/8/3PP2p/p7/8/PPn3PP/5R1K w - - 7 33|-1054|-1036
brr5/N5pN/k2p4/3PP2p/p7/8/PPn2RPP/7K b - - 1 36|1353|1342
b2r1N2/N5p1/k2p4/3PP2p/pr3R2/n7/PP4PP/7K b - - 7 39|1347|1335
brNr1N2/1k4p1/3p4/3PP2p/R6P/8/PPn3P1/7K b - - 2 42|703|686
br2rN2/N1k3p1/3p4/3PP2p/RP5P/8/P5PK/n7 b - - 0 45|518|508
br3r2/2k3p1/3p4/3PP2p/RP5P/8/P5PK/n2N4 b - - 3 48|1992|1984
R1k1r3/6p1/3p4/1r1PP2p/1PN4P/8/P5PK/n7 b - - 0 51|-216|-238
4k3/4r1p1/3p4/1r1PP2p/RP5P/4N3/P5PK/n7 w - - 5 54|-241|-227
4k3/3r2p1/R2P4/1r1P3p/1P4NP/8/P1n3PK/8 b - - 2 56|1017|1024
1r2k3/6p1/3r3N/R2P3p/1P5P/5nP1/P6K/8 w - - 2 60|-556|-534
1r2k1N1/r5p1/8/R2P3K/1P6/6P1/P7/8 b - - 0 63|22|24
3rk1N1/3r4/1R6/3P2pK/1P6/P5P1/8/8 b - - 1 66|-612|-619
1R1rk3/8/6KN/3P2p1/1P6/P5P1/8/5r2 b - - 7 69|-486|-487
bbqrkr1n/pppppppp/5n2/8/6P1/4P3/PPPP1P1P/BBQRKRNN b KQkq - 0 2|186|186
bbqrkr2/1pp2ppp/3p1nn1/p3p1P1/4P3/5N2/PPPP1P1P/BBQRKR1N w KQkq - 0 6|-458|-464
b1qrkr2/bppn1ppp/3p2n1/p3p1P1/4P2N/8/PPPPKP1P/BBQR2RN b kq - 5 8|857|864
bq2rrk1/b1pn1ppp/1p1p2n1/p3p1P1/3PP2N/2P2P2/PP2K2P/BBQR2RN w - - 0 12|-444|-439
bq3rk1/b1pn1pp1/1p1p2n1/p3r1Pp/1P1pP1RN/2P2P1P/P7/BBQRK2N b - - 1 15|534|525
1q3rk1/b1pnn1p1/1pbp1p2/4r1PN/pP1pP1RN/2P2P1P/P1Q5/BB1RK3 w - - 0 19|849|872
5rk1/bqpnn1p1/1pbp1p2/4r1P1/1P2PN1N/1pp2P1P/P5R1/BB1RK3 b - - 1 22|2408|2335
5rk1/bqpnn1p1/2bp1p2/1p2rNP1/1P2PN2/1pp2P1P/P4R2/BB1RK3 w - - 4 25|-2038|-1960
5r1k/bqpnn3/2b2p2/1p1prN2/1P2PP2/1ppN3P/P4R2/BBR1K3 b - - 1 28|2860|2801
1b2r2k/3nn3/q1bp1p2/1p1pr3/1P2PP2/1ppN3P/P4RK1/BBR5 w - - 0 32|-2260|-2151
1b2rn1k/4n3/q1bp1p2/1p1pr3/1P2PP2/1P5P/R5K1/1Bb1N3 b - - 3 35|5055|4907
1b2rn2/1b2n1k1/3p1p2/1p1P2r1/1P3P2/qP5P/5R1K/1Bb1N3 w - - 5 39|-3670|-3500
1bn2nk1/1b6/3prp2/1pRP2r1/1P3P2/qP1B3P/7K/2b1N3 b - - 12 42|4422|4273
1bn2n2/7k/q2prp2/1pRb3r/1P3P2/1P3N1P/7K/2b5 w - - 0 46|-4725|-4546
2n2n2/b6k/2Rp1p2/1p1b3r/qP3P2/1P2r2P/7K/2b1N3 w - - 6 49|-5389|-5217
2n1r3/7k/3p1pn1/1pbbNP1r/qP6/1P5P/7K/2b5 b - - 2 52|7842|7673
r1bqkb1r/pp3ppp/n3pn2/2pp2B1/2BP4/4PN2/PPP2PPP/RN1QK2R b KQkq - 3 2|83|89
1rbqkb1r/p4ppp/1p2pn2/2p3B1/1npP4/NP2PN2/P1P2PPP/R2QK1R1 w Qk - 2 6|-1424|-1414
1rbqkb1r/p2n1ppp/1p2p3/2p3B1/1npP3P/NP2PN2/P1P2PP1/R1KQ1R2 b k - 6 9|1435|1426
1nb1kb1r/prq2p1p/1p2pBp1/2p5/1npP3P/NP2P3/PKPN1PP1/R2Q1R2 w k - 4 13|-229|-197
2b2b1r/prqk1p1p/1pn2Bp1/2p1p3/1nNP3P/1P2P3/PKP2PP1/RN2QR2 w - - 4 16|177|205
1rb4B/p1qkbp1p/1Nn3p1/2p1p3/3P3P/1P2P3/nKP1QPP1/RN5R b - - 0 19|-504|-489
1r1nk2B/pbq1bp1p/1N4p1/2p1p3/3P2PP/1P2P3/RKP2P2/1N2Q2R w - - 1 23|872|841
1r2k2B/1bq1bp2/1pn3pp/Q1p1p3/3P2PP/RP2P3/2P2P2/1NK4R b - - 1 26|733|762
Q2n1k1B/Rbq1bp2/1p4pp/3Pp3/2p3PP/1P2P3/2P2P2/1NK4R w - - 0 30|1599|1565
Qq1n1k1B/Rb6/1p4pp/3Ppp2/2P3Pb/2N1P3/2P2P2/1K4R1 b - - 1 33|-1875|-1837
Qq1n1k2/R7/1p3Bpp/3bp1b1/2P1NpP1/4P3/2P2P2/K5R1 b - - 1 36|-1600|-1561
q2n1k2/R7/5bpp/2pbp3/6P1/4p1N1/2P2P2/K6R w - - 0 40|-862|-785
q2n1k2/R7/4bbpp/2N1p3/6P1/5P2/2P1p3/K6R w - - 1 43|-1087|-1021
R2n1k2/1q4b1/6pp/2Nbp3/2P3P1/5P2/4p3/KR6 b - - 6 46|1842|1793
2Rn4/1q1N1kb1/7p/4p1p1/b1P3P1/5P2/4p3/K3R3 w - - 0 50|-1937|-1891
3n4/3N1kb1/R6p/4p1p1/2P3P1/5P2/bq2p3/K6R w - - 6 53|-1440|-1372
3n4/6bk/R7/4N1pP/2P5/5P2/bK2p3/7R w - - 1 56|966|947
3n4/6bk/1R6/4N1pP/2P4b/5P1R/K7/8 b - - 0 58|-1163|-1138
3n3b/7k/5R2/4N1pP/2P2b2/5P2/K7/3R4 w - - 7 62|1801|1786
7b/n6k/3N1R2/4b1pP/2P5/1K3P2/8/3R4 b - - 14 65|-848|-809
r1bqkbnr/ppppp1pp/n4p2/8/8/4P2N/PPPP1PPP/RNBQKB1R w KQkq - 2 3|192|195
r1bq1bnr/pppk2pp/n4p2/3pp3/8/3PP1PN/PPPK1P1P/RNBQ1B1R w - - 2 6|28|29
1rbq1bnr/p2k2pp/np3p2/2pPp3/8/2PP1QPN/PP1K1P1P/RNB2B1R b - - 0 9|-150|-142
1rb2bnr/p1k1q1p1/1p3p2/2pPp2p/1n3B2/2PP1QPN/PP1K1P1P/RN3B1R w - - 0 13|0|-4
2b2bnr/prk3p1/1p1q4/2p1pp1p/1n3B2/1PPP2PN/P2KBP1P/RN5R b - - 1 16|2772|2709
2b2bnr/prk3p1/1pq5/2p1pp1p/1P3B2/1PKP1BPN/P4P1P/RN5R w - - 5 20|-1548|-1509
2b2bn1/prk3p1/2B1q2r/1pp1ppNp/1P3B2/1P1P1PP1/PK5P/RN5R b - - 2 23|1317|1273
5bn1/pB1k2p1/br2q2r/1pp1pp1p/1P2NB2/1PKP1PP1/P6P/RN5R b - - 8 26|2447|2430
rnbqk1nr/ppppppbp/6p1/1N6/8/8/PPPPPPPP/R1BQKBNR w KQkq - 2 3|-92|-97
rnbqk1nr/2ppp2p/2N3p1/1p2bp2/3P4/2P5/PP2PPPP/R1BQKBNR b KQkq - 1 6|-477|-480
1nbNk1nr/r1pp4/4p1pp/1p3p2/3P1b2/1PP5/P3P1PP/R1BQKBNR w KQk - 0 10|2415|2361
1nbk2nr/2pp4/r3p1pp/1p1P1p2/8/1PP3P1/P2QP2P/R1B1KBNR w KQ - 1 13|2637|2587
1nbk2nr/2pp4/r3p1p1/1p1P1p1p/2PN4/1P2Q1P1/P3P2P/R1B1KB1R b KQ - 0 16|-2462|-2401
1nb3nr/2p5/r2p1kp1/1p1Ppp1p/P1PN3P/1P2Q1P1/4P3/1RB1KB1R w K - 1 20|2794|2739
1nb3n1/2p2r2/r2p1kp1/1p1P1p1p/P1PNp2P/1P4PB/4P2R/1RB1K1Q1 w - - 2 23|2792|2742
1nb3n1/r1p2r2/3p1kp1/1p1P1p2/P1PNp1pP/1P4P1/3BPR2/1R2K1Q1 b - - 3 25|-1686|-1645
2b3n1/r1p4r/1n1p1kp1/1PPP1p2/3Np1pP/1P4P1/3BPR2/1R3KQ1 w - - 1 29|2380|2348
2b5/r1pr4/3P1kpn/1P1P1pN1/n3p1pP/1P4P1/3BPR2/4RKQ1 b - - 0 32|-1965|-1917
2b3n1/1r2r3/3P1kp1/1PpP1pN1/n3pBpP/1P4P1/4PR2/4RKQ1 w - - 6 36|2556|2520
2b3n1/1r6/3Prkp1/1P1P1pN1/n2QpBpP/1P4P1/4P1R1/4RK2 b - - 2 38|-2825|-2784
2b5/3rn3/3PNkp1/1P1Prp2/n3pBpP/1P4P1/4P1R1/Q3RK2 w - - 7 41|3820|3811
2b5/3r4/1B1Pk1p1/1P1nrp2/4p1pP/1P4P1/1n2P1R1/Q3RK2 b - - 3 44|-783|-749
2b5/3r4/1B1Pk1p1/1r3p2/2n1p1pP/1P2n1P1/4PKR1/3QR3 w - - 0 47|247|210
2b5/7r/1B1Pk1p1/r4p2/4p1pP/1P2n1P1/3nPK2/Q3R1R1 b - - 7 50|-749|-720
